DT_GERACAO;HH_GERACAO;ANO_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;CD_MUN_SIT_BIOMETRIA;DS_MUN_SIT_BIOMETRIA;NR_ZONA;CD_GENERO;DS_GENERO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_FAIXA_ETARIA;DS_FAIXA_ETARIA;CD_GRAU_ESCOLARIDADE;DS_GRAU_ESCOLARIDADE;QT_ELEITORES_PERFIL;QT_ELEITORES_BIOMETRIA;QT_ELEITORES_DEFICIENCIA;QT_ELEITORES_INC_NM_SOCIAL
;;;;;;;;;;;;;;;;;;;;
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;0;NÃO INFORMADO;0;NÃO INFORMADO;8589;85 a 89 anos                  ;2;LÊ E ESCREVE;1;0;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;0;NÃO INFORMADO;1;SOLTEIRO;5054;50 a 54 anos                  ;4;ENSINO FUNDAMENTAL COMPLETO;1;0;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;0;NÃO INFORMADO;1;SOLTEIRO;5559;55 a 59 anos                  ;3;ENSINO FUNDAMENTAL INCOMPLETO;1;0;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;0;NÃO INFORMADO;1;SOLTEIRO;6569;65 a 69 anos                  ;1;ANALFABETO;1;0;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;0;NÃO INFORMADO;1;SOLTEIRO;7074;70 a 74 anos                  ;3;ENSINO FUNDAMENTAL INCOMPLETO;1;0;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;0;NÃO INFORMADO;1;SOLTEIRO;7074;70 a 74 anos                  ;8;SUPERIOR COMPLETO;1;0;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1600;16 anos                       ;3;ENSINO FUNDAMENTAL INCOMPLETO;1;1;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1600;16 anos                       ;5;ENSINO MÉDIO INCOMPLETO;11;5;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1600;16 anos                       ;6;ENSINO MÉDIO COMPLETO;1;1;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1700;17 anos                       ;1;ANALFABETO;3;1;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1700;17 anos                       ;3;ENSINO FUNDAMENTAL INCOMPLETO;3;2;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1700;17 anos                       ;4;ENSINO FUNDAMENTAL COMPLETO;4;2;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1700;17 anos                       ;5;ENSINO MÉDIO INCOMPLETO;166;160;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1700;17 anos                       ;6;ENSINO MÉDIO COMPLETO;12;12;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1800;18 anos                       ;1;ANALFABETO;5;3;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1800;18 anos                       ;3;ENSINO FUNDAMENTAL INCOMPLETO;18;16;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1800;18 anos                       ;4;ENSINO FUNDAMENTAL COMPLETO;6;6;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1800;18 anos                       ;5;ENSINO MÉDIO INCOMPLETO;353;336;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1800;18 anos                       ;6;ENSINO MÉDIO COMPLETO;177;148;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1800;18 anos                       ;7;SUPERIOR INCOMPLETO;14;9;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;1;ANALFABETO;1;1;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;3;ENSINO FUNDAMENTAL INCOMPLETO;16;15;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;4;ENSINO FUNDAMENTAL COMPLETO;11;10;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;5;ENSINO MÉDIO INCOMPLETO;399;398;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;6;ENSINO MÉDIO COMPLETO;447;436;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;7;SUPERIOR INCOMPLETO;77;72;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;1900;19 anos                       ;8;SUPERIOR COMPLETO;4;2;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;2000;20 anos                       ;2;LÊ E ESCREVE;1;1;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;2000;20 anos                       ;3;ENSINO FUNDAMENTAL INCOMPLETO;27;26;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;2000;20 anos                       ;4;ENSINO FUNDAMENTAL COMPLETO;14;14;0;0
